,ID,Plant_rich,pH,EC,Plant_cove,Clay_silt,Total_P,TON,SOC,elevation,slope,aspect,cheight,Latitude_c,Longitude_,th_crossed,year_all,crossed_yr,geometry_x,Location_x,Vegetation_x,Plant_cover,STE,RWC,ARIDITY,BS_Tst
10,530,19,5.174,36.676,65.6175,10.3088,24.6681,2.2376,53.9037,1073.10021972656,1.77353705023606,291.141718466658,7,-11.339,-41.2441,2,2008,2011,"POLYGON ((-41.24409846576337 -11.33890903003642, -41.24409337930464 -11.33890916833753, -41.24406798573951 -11.33891413736579, -41.24404501838218 -11.33892586294607, -41.24402630543322 -11.33894341172295, -41.24401333644327 -11.33896538681471, -41.24400714374486 -11.33899003900483, -41.24400822027847 -11.33901540597942, -41.24401648035387 -11.33903946852721, -41.24403126647057 -11.33906031126886, -41.24405140165433 -11.33907627512125, -41.24407528314413 -11.33908608936085, -41.24410100997206 -11.33908897277351, -41.24412653428079 -11.3390846958394, -41.24414982433358 -11.33907359900276, -41.24416902624107 -11.33905656557252, -41.24418261153122 -11.33903495141064, -41.24418949881579 -11.33901047700522, -41.24418913986855 -11.33898509051942, -41.24418156326356 -11.33896081271747, -41.24416737210014 -11.3389395761119, -41.24414769599564 -11.33892307113566, -41.24412410116769 -11.33891261158396, -41.24409846576337 -11.33890903003642))",Brasil,Shrubland,65.6175,Sand,94.5567863173,0.5541,30.715
11,531,17,4.13,32.22,82.88,8.982,26.0004,2.9165,50.6333,1073.79225667318,1.91090551359172,289.090273348248,6.5,-11.3388,-41.2438,2,2008,2011,"POLYGON ((-41.24379970599279 -11.33870837048901, -41.24379461953763 -11.33870850879013, -41.24376922599034 -11.33871347781838, -41.24374625864914 -11.33872520339866, -41.24372754571331 -11.33874275217554, -41.24371457673247 -11.3387647272673, -41.24370838403841 -11.33878937945742, -41.24370946057127 -11.33881474643201, -41.24371772064087 -11.3388388089798, -41.24373250674719 -11.33885965172145, -41.24375264191681 -11.33887561557384, -41.24377652338983 -11.33888542981344, -41.24380225019969 -11.3388883132261, -41.2438277744905 -11.33888403629199, -41.24385106452693 -11.33887293945535, -41.24387026642093 -11.33885590602511, -41.24388385170155 -11.33883429186323, -41.24389073898129 -11.33880981745781, -41.24389038003429 -11.33878443097201, -41.24388280343462 -11.33876015317007, -41.24386861228116 -11.33873891656449, -41.24384893619049 -11.33872241158825, -41.24382534137911 -11.33871195203655, -41.24379970599279 -11.33870837048901))",Brasil,Shrubland,82.88,Sand,99.0359770214,0.5541,16.1875
12,532,46,5.606,22.18,75.1,6.9829,52.2089,0.5979,3.9474,603.278869628906,1.02136273426694,145.841671379356,6,-9.7317,-38.6831,2,2008,2011,"POLYGON ((-38.68309849863676 -9.731608218917637, -38.68309343864736 -9.731608357218757, -38.68306817722748 -9.731613326247228, -38.68304532938998 -9.731625051827983, -38.68302671382182 -9.731642600605436, -38.68301381232215 -9.731664575697687, -38.68300765185113 -9.731689227888079, -38.6830087227837 -9.731714594862616, -38.68301693987517 -9.731738657410066, -38.68303164904639 -9.731759500151174, -38.68305167944784 -9.731775464003007, -38.68307543665924 -9.731785278242192, -38.68310102960545 -9.731788161654729, -38.68312642108638 -9.731783884720805, -38.68314958993868 -9.731772787884616, -38.68316869192068 -9.731755754454946, -38.68318220651447 -9.731734140293577, -38.6831890579591 -9.731709665888459, -38.68318870088095 -9.731684279402639, -38.68318116370505 -9.731660001600373, -38.68316704639189 -9.731638764994276, -38.68314747268028 -9.73162226001747, -38.68312400063737 -9.731611800465341, -38.68309849863676 -9.731608218917637))",Brasil,Shrubland,75.1,Sand,95.5216685022,0.6533,24.9
13,533,52,6.238,51.264,79.165,10.3505,49.9406,0.7354,3.2195,603.278869628906,1.02136273426694,145.841671379356,6,-9.7314,-38.6836,2,2008,2011,"POLYGON ((-38.68359791795474 -9.731309459147056, -38.68359285796986 -9.731309597448178, -38.68356759657258 -9.73131456647665, -38.68354474875551 -9.731326292057403, -38.68352613320399 -9.731343840834855, -38.68351323171586 -9.731365815927107, -38.68350707125036 -9.7313904681175, -38.68350814218196 -9.731415835092038, -38.68351635926609 -9.731439897639486, -38.68353106842414 -9.731460740380591, -38.68355109880768 -9.731476704232426, -38.68357485599783 -9.731486518471613, -38.68360044892116 -9.731489401884151, -38.6836258403794 -9.731485124950224, -38.68364900921097 -9.731474028114036, -38.68366811117589 -9.731456994684367, -38.6836816257576 -9.731435380522996, -38.68368847719611 -9.731410906117876, -38.68368812011828 -9.73138551963206, -38.68368058294911 -9.731361241829791, -38.68366646564859 -9.731340005223695, -38.68364689195446 -9.731323500246893, -38.68362341993254 -9.731313040694756, -38.68359791795474 -9.731309459147056))",Brasil,Shrubland,79.165,Sand,66.8848980853,0.6561,20.835
14,534,18,5.166,23.272,46.725,4.2533,19.4303,0.9757,7.642,406.966033935547,3.74974849157135,259.331720558594,10,-11.1177,-42.7368,2,2008,2011,"POLYGON ((-42.7368003798086 -11.11760830385495, -42.73679529724848 -11.11760844215607, -42.73676992314672 -11.11761341118435, -42.73674697339318 -11.1176251367647, -42.7367282747872 -11.11764268554166, -42.73671531573773 -11.11766466063348, -42.73670912778601 -11.11768931282364, -42.73671020349464 -11.11771467979822, -42.73671845723904 -11.11773874234597, -42.73673323202262 -11.11775958508754, -42.73675335177325 -11.11777554893986, -42.73677721495839 -11.11778536317939, -42.73680292206721 -11.11778824659204, -42.73682842681206 -11.11778396965795, -42.73685169901352 -11.11777287282138, -42.73687088620322 -11.11775583939122, -42.73688446108068 -11.1177342252294, -42.73689134308647 -11.11770975082403, -42.7368909844145 -11.11768436433823, -42.73688341361692 -11.11766008653624, -42.73686923333072 -11.11763884993059, -42.73684957230743 -11.11762234495428, -42.73682599556421 -11.11761188540252, -42.7368003798086 -11.11760830385495))",Brasil,Shrubland,46.725,Sand,97.5777875004,0.6689,45.9
15,535,23,5.062,33.58,43.5925,1.4556,29.8357,0.8128,9.0192,408.402465820313,2.21771397576709,285.721086431783,1.8,-11.1253,-42.7371,2,2008,2011,"POLYGON ((-42.73709913957918 -11.12521107115108, -42.73709405688648 -11.12521120945219, -42.73706868212283 -11.12521617848047, -42.73704573177065 -11.12522790406082, -42.73702703267691 -11.12524545283778, -42.73701407328938 -11.1252674279296, -42.73700788517625 -11.12529208011976, -42.73700896091294 -11.12531744709434, -42.73701721487263 -11.12534150964209, -42.73703199004161 -11.12536235238366, -42.73705211031707 -11.12537831623598, -42.73707597412469 -11.12538813047552, -42.7371016819041 -11.12539101388817, -42.73712718731426 -11.12538673695408, -42.7371504601228 -11.1253756401175, -42.737169647813 -11.12535860668734, -42.73718322304456 -11.12533699252552, -42.73719010522986 -11.12531251812015, -42.73718974654854 -11.12528713163435, -42.73718217555346 -11.12526285383236, -42.73716799489737 -11.12524161722671, -42.73714833336121 -11.1252251122504, -42.73712475600298 -11.12521465269864, -42.73709913957918 -11.12521107115108))",Brasil,Shrubland,43.5925,Sand,100.038931024,0.6679,51.175
16,536,5,5.806,478.8,20.1029,36.11,942.4788,1.5385,19.3299,184.062484741211,13.7900829547932,37.8019740986162,0.01,-32.4631,-71.2336,2,2009,2019,"POLYGON ((-71.23359977757043 -32.46300845052558, -71.23359386675801 -32.46300858882659, -71.23356435769978 -32.46301355785155, -71.23353766805549 -32.46302528342478, -71.23351592231687 -32.46304283219308, -71.23350085144438 -32.46306480727738, -71.23349365508295 -32.4630894594635, -71.23349490606905 -32.46311482643881, -71.23350450483112 -32.4631388889918, -71.23352168731317 -32.46315973174151, -71.23354508579206 -32.46317569560231, -71.23357283774742 -32.46318550984804, -71.23360273411873 -32.46318839326264, -71.23363239514811 -32.46318411632568, -71.23365945981109 -32.46317301948228, -71.23368177375625 -32.46315598604347, -71.23369756079283 -32.46313437187391, -71.23370556427584 -32.46310989746409, -71.23370514713395 -32.46308451097853, -71.23369634257861 -32.46306023318139, -71.23367985145813 -32.4630389965837, -71.2336569864685 -32.46302249161597, -71.23362956766178 -32.46301203207071, -71.23359977757043 -32.46300845052558))",Chile,Shrubland,20.1029411765,Sandy Loam,51.058020198,0.7762,33.6323529412
17,537,6,6.554,105.64,32.1667,44.3233,433.652,1.9165,19.1096,724.196472167969,28.3365399675905,112.215738459957,2,-33.27,-70.9031,1,2009,2019,"POLYGON ((-70.90310012569114 -33.26990954075293, -70.90309416084916 -33.26990967905393, -70.90306438205444 -33.26991464807874, -70.90303744844512 -33.26992637365166, -70.90301550393239 -33.26994392241955, -70.90300029529912 -33.26996589750351, -70.90299303315612 -33.26999054968945, -70.90299429557635 -33.2700159166648, -70.90300398207833 -33.27003997921803, -70.90302132162225 -33.27006082196811, -70.9030449339829 -33.27007678582929, -70.90307293961489 -33.2700866000753, -70.90310310926483 -33.27008948349, -70.90313304142161 -33.27008520655289, -70.90316035347874 -33.27007410970918, -70.90318287139202 -33.27005707626999, -70.90319880273482 -33.27003546210008, -70.9032068793755 -33.27001098769006, -70.90320645841966 -33.2699856012045, -70.90319757338258 -33.26996132340758, -70.90318093151917 -33.26994008681026, -70.90315785752462 -33.2699235818429, -70.90313018808781 -33.26991312229796, -70.90310012569114 -33.26990954075293))",Chile,Shrubland,32.1666666667,Sandy Loam,86.0469125846,0.7089,34.4166666667
18,538,4,5.812,129.12,59.6167,30.9972,273.1888,3.6035,36.1046,192.6162109375,15.405542020368,249.950851845594,11,-33.1192,-71.3639,2,2009,2019,"POLYGON ((-71.36389916945318 -33.11911166132749, -71.36389321487336 -33.11911179962851, -71.36386348731126 -33.11911676865334, -71.36383660003965 -33.11912849422632, -71.36381469328123 -33.11914604299427, -71.36379951081368 -33.11916801807831, -71.36379226116496 -33.11919267026429, -71.36379352141344 -33.11921803723962, -71.36380319125045 -33.11924209979281, -71.3638205009627 -33.11926294254281, -71.36384407269954 -33.11927890640393, -71.36387203014924 -33.11928872064988, -71.36390214789378 -33.11929160406456, -71.36393202855375 -33.11928732712749, -71.36395929362186 -33.11927623028382, -71.36398177279428 -33.11925919684472, -71.36399767672816 -33.11923758267487, -71.36400573947358 -33.11921310826489, -71.36400531924214 -33.11918772177933, -71.36399644949144 -33.11916344398237, -71.3639798362595 -33.11914220738498, -71.3639568019625 -33.11912570241755, -71.36392918012932 -33.11911524287254, -71.36389916945318 -33.11911166132749))",Chile,Shrubland,59.6166666667,Sandy Loam,100,0.6017,39.4
19,539,11,6.334,95.86,43.9583,41.9825,878.115,2.4155,30.0995,118.880073547363,9.8876624563444,358.252041388507,0.01,-32.4856,-71.3703,2,2009,2019,"POLYGON ((-71.37029797946488 -32.48550907444126, -71.37029206717496 -32.48550921274228, -71.37026255074042 -32.48551418176723, -71.37023585442459 -32.48552590734046, -71.37021410325022 -32.48554345610874, -71.3701990286105 -32.48556543119302, -71.37019183045018 -32.48559008337916, -71.37019308174897 -32.48561545035445, -71.37020268291039 -32.48563951290745, -71.3702198696875 -32.48566035565717, -71.37024327401528 -32.48567631951799, -71.37027103290774 -32.48568613376372, -71.37030093675222 -32.48568901717833, -71.37033060519595 -32.48568474024135, -71.37035767662424 -32.48567364339794, -71.37037999614716 -32.48565660995914, -71.37039578712998 -32.48563499578957, -71.37040379261357 -32.48561052137974, -71.3704033753674 -32.48558513489417, -71.37039456861119 -32.48556085709705, -71.37037807336846 -32.48553962049937, -71.37035520266329 -32.48552311553163, -71.37032777700277 -32.4855126559864, -71.37029797946488 -32.48550907444126))",Chile,Shrubland,43.9583333333,Sandy Loam,96.3442069741,0.7364,47.25
